//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
 22 22 22 220 212 130 255 255 255 13 22 32 23 44 66 249 255 166 5 0 0 2.50 1.00 0.10 200 100 0 455.00 66.00 1.00 51 48 39 3 3 3 47 40 14 240 255 87 87 87 255 12 24 15 50 120 0
//5AM
 22 22 22 194 194 142 255 255 255 37 52 71 64 89 123 204 207 95 0 0 0 0.00 1.00 0.20 150 100 0 400.00 100.00 1.00 35 9 10 27 30 36 35 62 90 240 255 80 80 80 255 60 190 190 0 90 0
//6AM
 22 22 22 210 194 182 255 255 255 75 114 214 217 196 113 255 255 74 255 128 64 8.40 1.00 0.30 140 93 0 800.00 100.00 0.80 100 34 25 120 92 88 90 170 170 240 255 86 86 86 255 149 94 0 25 120 0
//7AM
 5 0 0 210 194 182 255 255 255 70 146 191 112 162 199 255 255 0 255 128 0 2.20 1.00 0.30 100 50 75 800.00 100.00 0.50 196 204 217 218 230 243 60 148 255 240 255 133 106 70 255 96 61 15 25 180 0
//Midday
 40 40 35 255 255 255 255 255 255 66 97 149 97 140 211 255 255 0 255 128 0 1.10 1.00 0.00 225 225 225 800.00 60.00 0.00 152 169 199 245 247 234 44 121 137 240 255 66 66 48 255 128 111 83 0 0 0
//7PM
 8 5 5 255 255 182 255 255 255 118 148 179 138 167 194 251 243 98 245 152 120 3.90 1.00 0.00 110 40 75 800.00 10.00 0.80 234 231 225 235 219 205 50 97 97 240 255 124 124 107 255 86 50 10 25 180 0
//8PM
 25 14 14 210 194 182 255 255 255 109 125 190 234 186 115 255 255 0 241 198 67 2.00 1.00 0.40 120 60 0 800.00 10.00 1.00 212 148 100 200 117 55 149 98 53 240 255 81 85 40 255 66 27 0 25 140 0
//10PM
 21 20 20 210 194 182 255 255 255 30 53 79 43 77 115 255 128 0 5 8 0 1.00 1.00 0.30 160 100 0 600.00 41.00 1.00 31 52 82 27 41 65 27 54 82 240 255 209 143 84 255 24 35 28 25 90 0
//
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
 0 20 20 210 194 182 255 255 255 16 23 31 20 34 46 255 128 0 5 0 0 1.00 0.40 0.40 200 100 0 800.00 100.00 1.00 0 0 0 3 3 3 85 85 65 240 255 110 126 210 255 0 81 104 55 220 0
//5AM
 6 20 20 210 194 182 255 255 255 36 36 55 49 44 84 176 170 218 255 128 0 0.00 0.30 0.80 150 100 0 800.00 100.00 1.00 0 0 0 14 15 18 25 51 52 240 255 102 132 227 255 4 85 95 90 220 0
//6AM
 22 17 8 210 194 182 255 255 255 115 135 232 255 195 114 255 255 0 255 255 0 1.20 0.50 0.20 140 93 0 800.00 100.00 0.80 202 158 155 250 241 184 90 170 170 240 255 86 86 86 255 149 94 0 177 220 0
//7AM
 12 4 0 210 194 182 255 255 255 94 122 206 102 140 255 238 175 57 250 255 34 2.20 1.00 0.00 211 0 149 800.00 100.00 0.50 252 203 150 180 176 193 145 170 170 240 255 58 110 115 255 123 70 14 177 220 0
//Midday
 12 10 0 210 194 182 255 255 255 71 101 218 118 150 203 255 255 0 255 128 0 1.70 1.00 0.00 225 25 190 800.00 100.00 0.00 226 220 222 198 187 191 26 103 140 240 255 92 65 39 255 43 54 24 88 220 0
//7PM
 16 10 0 210 194 182 255 255 255 89 119 198 107 134 194 255 255 108 249 136 113 7.50 1.00 0.00 110 40 75 800.00 100.00 0.80 207 208 228 168 153 172 75 82 103 240 255 101 70 41 255 74 40 23 88 220 0
//8PM
 12 10 4 210 194 182 255 255 255 123 155 204 139 126 214 255 255 0 252 170 1 2.15 1.40 0.50 120 60 0 800.00 43.00 1.00 135 122 143 228 145 126 175 146 152 240 127 205 107 48 127 58 48 69 177 220 0
//10PM
 22 20 10 210 194 182 255 255 255 24 44 65 43 82 121 254 241 1 5 8 0 1.00 0.40 0.40 160 100 0 800.00 41.00 1.00 124 130 139 47 50 55 34 33 39 240 255 129 0 0 255 66 106 0 111 60 0
//
//////////// EXTRASUNNY_SMOG_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
 33 33 33 249 244 235 255 255 255 20 34 50 32 56 85 255 128 0 5 0 0 1.00 0.30 0.90 200 102 0 800.00 100.00 1.00 30 20 0 3 3 3 85 85 65 240 255 50 61 114 255 14 46 55 25 80 0
//5AM
 22 33 33 210 194 182 255 255 255 41 55 86 38 57 91 255 128 0 255 128 0 0.00 0.30 0.90 150 100 0 800.00 50.00 1.00 35 9 10 27 30 36 53 104 104 240 255 93 90 114 255 34 40 30 25 80 0
//6AM
 20 16 16 210 194 182 255 255 255 92 135 186 207 152 90 255 128 0 255 255 0 8.40 0.20 0.40 140 93 0 800.00 50.00 0.80 100 34 25 120 92 88 90 170 170 240 255 86 86 86 255 149 94 0 25 120 0
//7AM
 11 7 1 210 194 182 255 255 255 62 133 210 111 143 221 255 128 0 255 255 0 1.20 0.20 0.80 100 50 75 800.00 10.00 0.50 179 185 185 240 239 236 145 170 170 240 255 106 107 84 255 96 61 15 25 120 0
//Midday
 14 7 2 210 194 182 255 255 255 81 107 200 129 143 182 255 255 0 255 128 0 1.00 0.20 0.30 236 0 190 800.00 10.00 0.00 210 235 240 230 245 247 90 170 170 240 255 79 49 28 255 51 72 45 25 50 0
//7PM
 10 10 5 210 194 182 255 255 255 87 118 189 123 141 185 255 255 0 255 128 0 7.50 0.30 1.00 110 40 103 800.00 10.00 0.80 190 216 214 154 175 182 50 97 97 240 255 124 93 67 255 86 50 10 25 150 0
